sum(PWGTP),SCHL_grouped,PINCP_adjusted
466139,Bachelors degree,11000
157206,Associates degree,78000
70881,Associates degree,69000
25030,N/A,139000
138229,GED or alternative credential,2000
549659,Pre-diploma grade,7000
803619,Pre-degree college,12000
71481,GED or alternative credential,50000
302575,Associates degree,21000
100576,GED or alternative credential,5000
64890,Associates degree,114000
21372,N/A,77000
226545,Pre-degree college,72000
129740,GED or alternative credential,28000
143086,Masters degree,107000
196220,Masters degree,81000
132223,Pre-diploma grade,43000
274841,Associates degree,13000
86142,Masters degree,102000
240094,Masters degree,58000
63826,Masters degree,223000
133779,Masters degree,97000
175721,Regular high school diploma,62000
338548,Bachelors degree,95000
296821,Associates degree,31000
38015,GED or alternative credential,83000
315312,Pre-diploma grade,36000
4495,GED or alternative credential,130000
34541,Associates degree,106000
60270,Masters degree,112000
143407,N/A,10000
29960,Masters degree,197000
545,Pre-degree college,498000
124954,GED or alternative credential,6000
193673,Bachelors degree,103000
12968,GED or alternative credential,111000
311129,Bachelors degree,32000
138525,Pre-degree college,69000
21019,Masters degree,334000
13029,Bachelors degree,256000
172821,Bachelors degree,156000
196248,Associates degree,68000
195772,Pre-degree college,62000
120838,Associates degree,72000
285581,Pre-degree college,78000
260006,Masters degree,52000
122805,Masters degree,10000
66004,Regular high school diploma,118000
85564,Bachelors degree,124000
125208,Masters degree,22000
2806,Pre-degree college,231000
11769,Pre-degree college,168000
55744,Masters degree,133000
245131,Masters degree,71000
29069,N/A,81000
128290,Masters degree,139000
769185,Regular high school diploma,46000
35244,Bachelors degree,203000
20580,Masters degree,239000
97914,Masters degree,108000
99596,Associates degree,62000
134068,GED or alternative credential,19000
15126,Masters degree,199000
322651,Associates degree,46000
837,Masters degree,627000
50275,Associates degree,118000
30943,Pre-degree college,154000
119494,Pre-degree college,114000
116390,Masters degree,85000
146100,Bachelors degree,167000
4330,Bachelors degree,494000
240598,Regular high school diploma,78000
41595,Regular high school diploma,106000
16645,Regular high school diploma,154000
140806,Bachelors degree,96000
48008,Associates degree,125000
104181,Masters degree,92000
34801,Bachelors degree,209000
6214,Bachelors degree,247000
32870,Pre-diploma grade,66000
154884,Masters degree,77000
54591,Bachelors degree,200000
57218,Pre-diploma grade,67000
31355,N/A,51000
2227,N/A,243000
4693,Masters degree,354000
88476,Bachelors degree,160000
191004,Regular high school diploma,72000
34992,N/A,71000
87183,Regular high school diploma,114000
41117,N/A,58000
89422,Pre-degree college,118000
105898,GED or alternative credential,41000
44754,Masters degree,157000
27295,Masters degree,152000
7081,Masters degree,263000
93183,Pre-diploma grade,53000
3096,Masters degree,386000
662,Associates degree,252000
757,N/A,349000
4201,Bachelors degree,260000
38839,Bachelors degree,184000
2944,Regular high school diploma,196000
59384,GED or alternative credential,44000
17996,Bachelors degree,192000
2340,Bachelors degree,422000
12248,Bachelors degree,244000
1285,Pre-diploma grade,169000
14657,Bachelors degree,210000
1243,Masters degree,681000
23745,Pre-degree college,126000
2165,Masters degree,523000
26131,N/A,60000
636,N/A,759000
473,Associates degree,312000
429,Associates degree,564000
23108,Masters degree,290000
9665,Masters degree,272000
66554,N/A,22000
98153,Masters degree,178000
11724,Associates degree,126000
4868,Masters degree,371000
5291,N/A,197000
444,Bachelors degree,710000
5872,Masters degree,436000
15510,Masters degree,342000
5555,Masters degree,407000
1874,Bachelors degree,508000
718,Bachelors degree,731000
4646,Masters degree,406000
24422,Masters degree,212000
26272,Bachelors degree,296000
9668,N/A,133000
811,GED or alternative credential,217000
2039,Masters degree,605000
13488,N/A,102000
5541,Bachelors degree,259000
83101,Pre-degree college,125000
31510,Pre-diploma grade,80000
14320,Pre-diploma grade,100000
3880,Pre-diploma grade,123000
9648,Masters degree,243000
21380,Pre-diploma grade,93000
5395,Associates degree,168000
2350,Bachelors degree,376000
119810,Regular high school diploma,69000
1889,Pre-degree college,312000
24931,Masters degree,175000
27917,GED or alternative credential,75000
3743,Masters degree,622000
1666,Regular high school diploma,274000
10692,Bachelors degree,227000
82399,Bachelors degree,143000
2896,Pre-degree college,221000
24323,N/A,107000
8846,Bachelors degree,662000
4220,N/A,290000
189,N/A,794000
169,N/A,898000
36689,GED or alternative credential,54000
7893,Masters degree,273000
10809,Pre-degree college,159000
5190,Bachelors degree,286000
36978,Bachelors degree,158000
1086,Bachelors degree,599000
2360,Bachelors degree,-9000
4029,Masters degree,396000
12361,GED or alternative credential,99000
15991,GED or alternative credential,91000
4531,Masters degree,349000
2250,Masters degree,561000
9205,GED or alternative credential,101000
512,Regular high school diploma,385000
20099,Pre-degree college,135000
17623,GED or alternative credential,87000
8602,Masters degree,308000
9805,N/A,112000
4935,Masters degree,443000
4774,Associates degree,159000
1481,Masters degree,646000
10863,Associates degree,135000
2567,Masters degree,428000
11205,Regular high school diploma,135000
75504,GED or alternative credential,57000
1268,Regular high school diploma,554000
6241,Regular high school diploma,168000
4742,Masters degree,566000
17522,N/A,85000
15014,Associates degree,154000
7048,Masters degree,291000
7840,Regular high school diploma,161000
15910,Masters degree,226000
25247,Masters degree,193000
2972,Bachelors degree,341000
2502,Bachelors degree,589000
601,Pre-degree college,392000
2973,Pre-degree college,284000
4828,Bachelors degree,297000
760,Bachelors degree,857000
19773,Bachelors degree,183000
12,Bachelors degree,1239000
748,Pre-degree college,632000
1743,Regular high school diploma,284000
5694,Masters degree,499000
775,Regular high school diploma,248000
30314,Bachelors degree,198000
2251,Associates degree,235000
212,Bachelors degree,830000
3099,N/A,226000
373,N/A,487000
20940,Pre-diploma grade,86000
14869,GED or alternative credential,76000
977,Associates degree,544000
2601,Masters degree,567000
1756,Regular high school diploma,231000
7056,Associates degree,161000
4188,Masters degree,658000
154,GED or alternative credential,414000
4883,Masters degree,277000
14798,GED or alternative credential,79000
3015,Masters degree,388000
473,N/A,450000
7922,Bachelors degree,281000
357,GED or alternative credential,267000
4660,Bachelors degree,265000
5286,Masters degree,415000
188,GED or alternative credential,314000
11356,N/A,223000
4093,Bachelors degree,512000
15727,N/A,108000
8049,Masters degree,706000
829,Pre-degree college,541000
4331,Pre-degree college,235000
5127,Masters degree,304000
31540,GED or alternative credential,64000
874,Bachelors degree,-4000
15655,Bachelors degree,251000
3835,N/A,334000
1103,Bachelors degree,475000
3652,GED or alternative credential,148000
20668,N/A,97000
480,Associates degree,326000
2467,Regular high school diploma,225000
14280,Regular high school diploma,126000
1120,Bachelors degree,584000
12147,Masters degree,266000
2829,Pre-degree college,274000
1563,Masters degree,450000
2522,Bachelors degree,719000
2191,Bachelors degree,502000
19317,N/A,178000
1934,Pre-degree college,258000
1024,Associates degree,284000
32,Regular high school diploma,692000
2306,Bachelors degree,366000
1972,Bachelors degree,577000
1603,Masters degree,537000
1992,Bachelors degree,420000
1285,Bachelors degree,565000
835,Regular high school diploma,370000
3741,N/A,199000
1865,Masters degree,408000
1477,Bachelors degree,640000
2357,Associates degree,196000
3111,GED or alternative credential,131000
8195,N/A,157000
1350,Pre-degree college,252000
2676,Bachelors degree,333000
227,N/A,605000
1707,N/A,-3000
4413,N/A,212000
5465,Bachelors degree,576000
4434,N/A,175000
5948,N/A,152000
1312,Pre-degree college,460000
2454,Pre-degree college,669000
5415,N/A,193000
809,Masters degree,654000
183,Pre-diploma grade,490000
185,GED or alternative credential,461000
4845,Pre-degree college,225000
671,N/A,396000
1717,Bachelors degree,572000
5576,Masters degree,418000
2658,Masters degree,425000
11929,GED or alternative credential,116000
1266,N/A,390000
458,N/A,327000
16498,N/A,92000
143,Associates degree,528000
1549,Bachelors degree,578000
1877,Pre-degree college,554000
538,GED or alternative credential,240000
1118,Bachelors degree,446000
6473,Masters degree,568000
267,Associates degree,451000
2313,Bachelors degree,347000
972,Pre-diploma grade,191000
154,Masters degree,1021000
1740,Regular high school diploma,235000
4757,Pre-degree college,196000
1309,N/A,407000
11551,GED or alternative credential,84000
13464,Pre-degree college,161000
2629,Bachelors degree,329000
304,N/A,613000
2152,Bachelors degree,447000
1654,Regular high school diploma,544000
747,Regular high school diploma,392000
345,Associates degree,269000
2890,Bachelors degree,563000
3437,Bachelors degree,726000
4158,Bachelors degree,298000
87,GED or alternative credential,387000
1354,Associates degree,231000
923,N/A,415000
3601,Bachelors degree,535000
4057,Masters degree,-3000
1294,Pre-degree college,385000
5288,Regular high school diploma,159000
6533,Masters degree,383000
3461,Bachelors degree,351000
443,N/A,352000
5662,GED or alternative credential,134000
2727,Masters degree,591000
1986,Pre-degree college,317000
6247,GED or alternative credential,115000
4584,Bachelors degree,356000
523,Bachelors degree,756000
1006,Pre-degree college,444000
2465,Masters degree,734000
345,Bachelors degree,803000
1128,Pre-degree college,288000
1845,Pre-degree college,491000
120,GED or alternative credential,330000
178,N/A,673000
1637,Pre-degree college,248000
600,Masters degree,1067000
2976,Pre-diploma grade,121000
4285,Bachelors degree,433000
524,Associates degree,474000
741,N/A,428000
1873,Associates degree,225000
658,Regular high school diploma,288000
1442,Pre-degree college,379000
3141,Masters degree,759000
506,Regular high school diploma,474000
574,N/A,364000
2493,Pre-degree college,544000
503,Pre-degree college,592000
454,Bachelors degree,620000
1118,N/A,273000
2813,Masters degree,364000
988,N/A,499000
978,N/A,354000
360,Pre-diploma grade,229000
1635,N/A,263000
1145,Pre-degree college,550000
2091,Masters degree,352000
2968,Bachelors degree,547000
1077,GED or alternative credential,153000
732,Masters degree,688000
3961,Bachelors degree,782000
1369,Pre-degree college,269000
1276,Pre-diploma grade,177000
426,Regular high school diploma,541000
649,N/A,371000
285,Bachelors degree,775000
477,N/A,523000
699,Associates degree,669000
6304,Pre-diploma grade,128000
1417,Masters degree,594000
330,N/A,658000
4490,Bachelors degree,299000
753,N/A,409000
347,Associates degree,370000
614,Pre-degree college,631000
754,Bachelors degree,784000
168,Pre-diploma grade,344000
3698,Bachelors degree,479000
567,GED or alternative credential,201000
4081,Pre-diploma grade,119000
813,Regular high school diploma,252000
1966,Masters degree,780000
2426,N/A,266000
525,Associates degree,317000
266,N/A,567000
1321,N/A,291000
7440,Masters degree,390000
115,Associates degree,498000
702,Bachelors degree,687000
1231,Pre-diploma grade,176000
719,Bachelors degree,708000
1000,N/A,568000
295,N/A,656000
722,Regular high school diploma,379000
1013,Bachelors degree,549000
67,GED or alternative credential,942000
469,Regular high school diploma,562000
95,Pre-diploma grade,315000
394,Bachelors degree,686000
1035,N/A,277000
341,Pre-diploma grade,313000
782,GED or alternative credential,204000
785,N/A,418000
99,Pre-degree college,828000
147,Masters degree,1068000
326,Associates degree,385000
2281,Masters degree,656000
1029,Pre-degree college,326000
2551,N/A,272000
45,Associates degree,692000
2125,Masters degree,402000
379,N/A,525000
166,GED or alternative credential,224000
255,Bachelors degree,944000
907,Pre-degree college,445000
2381,Bachelors degree,389000
148,Bachelors degree,967000
1633,Masters degree,525000
417,Bachelors degree,839000
3299,Masters degree,409000
511,Regular high school diploma,550000
1065,Regular high school diploma,564000
1619,Masters degree,487000
1004,Pre-degree college,437000
241,N/A,432000
890,Pre-degree college,551000
874,Bachelors degree,720000
1428,Masters degree,717000
4056,Bachelors degree,294000
106,Masters degree,1233000
223,Pre-degree college,528000
1183,Regular high school diploma,460000
23,Pre-degree college,1128000
412,Pre-diploma grade,303000
737,Masters degree,758000
716,Regular high school diploma,632000
3590,Masters degree,327000
949,Pre-degree college,370000
60,Pre-degree college,692000
121,Pre-diploma grade,424000
475,Associates degree,554000
726,N/A,706000
179,Pre-degree college,531000
627,Associates degree,360000
852,Masters degree,766000
1284,N/A,304000
267,Pre-diploma grade,340000
26,Regular high school diploma,724000
2621,N/A,342000
944,Regular high school diploma,360000
47,N/A,827000
1062,Regular high school diploma,451000
4019,N/A,239000
521,Associates degree,437000
640,GED or alternative credential,163000
97,Pre-diploma grade,372000
1450,Masters degree,673000
9,GED or alternative credential,770000
47,GED or alternative credential,699000
27,GED or alternative credential,449000
722,N/A,388000
526,Masters degree,742000
185,Associates degree,444000
590,Regular high school diploma,531000
35,Pre-diploma grade,580000
855,Bachelors degree,625000
745,Bachelors degree,647000
97,Masters degree,1032000
145,Pre-degree college,638000
1967,Masters degree,432000
300,N/A,780000
1578,Masters degree,794000
24,Masters degree,1199000
4593,Bachelors degree,442000
1310,Pre-degree college,360000
1321,Regular high school diploma,491000
275,N/A,758000
1443,Regular high school diploma,221000
918,N/A,383000
