PWGTP,ESR,name,Income
4002,Unemployed/NA,Public Assistance Income [PAP],2000
8070,Unemployed/NA,Supplementary Security Income [SSIP],24000
1942,Unemployed/NA,Supplementary Security Income [SSIP],12000
41221,Unemployed/NA,Public Assistance Income [PAP],5000
3657,Unemployed/NA,Public Assistance Income [PAP],1000
5980,Unemployed/NA,Supplementary Security Income [SSIP],1000
4362,Unemployed/NA,Supplementary Security Income [SSIP],3000
8619,Unemployed/NA,Supplementary Security Income [SSIP],8000
3712,Unemployed/NA,Supplementary Security Income [SSIP],8000
5266,Unemployed/NA,Supplementary Security Income [SSIP],6000
7159,Unemployed/NA,Supplementary Security Income [SSIP],3000
1490,Unemployed/NA,Supplementary Security Income [SSIP],5000
1153,Unemployed/NA,Public Assistance Income [PAP],4000
8235,Unemployed/NA,Public Assistance Income [PAP],5000
5861,Unemployed/NA,Public Assistance Income [PAP],1000
2354,Unemployed/NA,Supplementary Security Income [SSIP],11000
5300,Unemployed/NA,Supplementary Security Income [SSIP],12000
1201,Unemployed/NA,Supplementary Security Income [SSIP],17000
2392,Civilian employed,Public Assistance Income [PAP],1000
8746,Unemployed/NA,Supplementary Security Income [SSIP],9000
2831,Unemployed/NA,Public Assistance Income [PAP],2000
1870,Civilian employed,Supplementary Security Income [SSIP],9000
1154,Unemployed/NA,Supplementary Security Income [SSIP],28000
5966,Unemployed/NA,Public Assistance Income [PAP],1000
1167,Civilian employed,Supplementary Security Income [SSIP],10000
1455,Civilian employed,Public Assistance Income [PAP],2000
11286,Unemployed/NA,Supplementary Security Income [SSIP],9000
2559,Unemployed/NA,Public Assistance Income [PAP],2000
1224,Unemployed/NA,Public Assistance Income [PAP],2000
1139,Civilian employed,Supplementary Security Income [SSIP],10000
2579,Unemployed/NA,Supplementary Security Income [SSIP],16000
1369,Unemployed/NA,Supplementary Security Income [SSIP],3000
2211,Unemployed/NA,Supplementary Security Income [SSIP],11000
5426,Unemployed/NA,Public Assistance Income [PAP],2000
2876,Unemployed/NA,Supplementary Security Income [SSIP],5000
2492,Unemployed/NA,Supplementary Security Income [SSIP],5000
2899,Unemployed/NA,Public Assistance Income [PAP],10000
1182,Unemployed/NA,Public Assistance Income [PAP],1000
1182,Unemployed/NA,Supplementary Security Income [SSIP],2000
4222,Unemployed/NA,Public Assistance Income [PAP],2000
4440,Unemployed/NA,Supplementary Security Income [SSIP],5000
1152,Civilian employed,Public Assistance Income [PAP],2000
1125,Unemployed/NA,Supplementary Security Income [SSIP],16000
2783,Civilian employed,Public Assistance Income [PAP],2000
1050,Unemployed/NA,Supplementary Security Income [SSIP],1000
1712,Civilian employed,Public Assistance Income [PAP],2000
1827,Civilian employed,Public Assistance Income [PAP],1000
1328,Unemployed/NA,Supplementary Security Income [SSIP],7000
2207,Civilian employed,Public Assistance Income [PAP],2000
1980,Unemployed/NA,Supplementary Security Income [SSIP],2000
1215,Unemployed/NA,Supplementary Security Income [SSIP],12000
1287,Civilian employed,Supplementary Security Income [SSIP],9000
1048,Unemployed/NA,Supplementary Security Income [SSIP],14000
4719,Unemployed/NA,Public Assistance Income [PAP],8000
17591,Unemployed/NA,Public Assistance Income [PAP],1000
228078,Unemployed/NA,Supplementary Security Income [SSIP],12000
